PropertyTimestampInNumber,AirFlowSetpointMax,AirFlowSetpointMin,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160102231500,619.5,619.5,619.5,100.0,74,64.8,100,62.3,75.0,72.0
20160102233000,619.5,619.5,613.2,98.9831,74,64.8,100,62.3,75.0,72.0
20160102234500,619.5,619.5,613.2,98.9831,74,63.8,100,62.2,75.0,72.0
20160103000000,619.5,619.5,613.2,98.9831,74,62.8,100,62.2,75.0,72.0
20160103001500,619.5,619.5,619.5,100.0,74,65.3,100,62.2,75.0,72.0
20160103003000,619.5,619.5,613.2,98.9831,74,65.3,100,62.2,75.0,72.0
20160103004500,619.5,619.5,613.2,98.9831,74,63.8,100,62.3,75.0,72.0
20160103010000,619.5,619.5,613.2,98.9831,74,62.0,100,62.3,75.0,72.0
20160103011500,619.5,619.5,619.5,100.0,74,62.0,100,62.2,75.0,72.0
20160103013000,619.5,619.5,619.5,100.0,74,63.5,100,62.2,75.0,72.0
20160103014500,619.5,619.5,619.5,100.0,74,64.5,100,62.2,75.0,72.0
20160103020000,619.5,619.5,619.5,100.0,74,64.5,100,62.2,75.0,72.0
20160103021500,619.5,619.5,613.2,98.9831,74,64.5,100,62.2,75.0,72.0
20160103023000,619.5,619.5,613.2,98.9831,74,64.5,100,62.2,75.0,72.0
20160103024500,619.5,619.5,613.2,98.9831,74,65.3,100,62.2,75.0,72.0
20160103030000,619.5,619.5,613.2,98.9831,74,64.0,100,62.2,75.0,72.0
20160103031500,619.5,619.5,619.5,100.0,74,62.4,100,62.3,75.0,72.0
20160103033000,619.5,619.5,613.2,98.9831,74,65.3,100,62.2,75.0,72.0
20160103034500,619.5,619.5,613.2,98.9831,74,65.3,100,62.2,75.0,72.0
20160103040000,619.5,619.5,613.2,98.9831,74,64.4,100,62.2,75.0,72.0
20160103041500,619.5,619.5,613.2,98.9831,74,65.3,100,62.2,75.0,72.0
20160103043000,619.5,619.5,613.2,98.9831,74,62.8,100,62.2,75.0,72.0
20160103044500,619.5,619.5,613.2,98.9831,74,64.8,100,62.2,75.0,72.0
20160103050000,619.5,619.5,619.5,100.0,74,64.8,100,62.1,75.0,72.0
20160103051500,619.5,619.5,619.5,100.0,74,64.8,100,62.1,75.0,72.0
20160103053000,619.5,619.5,613.2,98.9831,74,64.0,100,62.0,75.0,72.0
20160103054500,619.5,619.5,613.2,98.9831,74,64.8,100,62.1,75.0,72.0
20160103060000,619.5,619.5,613.2,98.9831,74,64.8,100,62.1,75.0,72.0
20160103061500,619.5,619.5,619.5,100.0,74,64.0,100,62.1,75.0,72.0
20160103063000,619.5,619.5,613.2,98.9831,74,65.3,100,62.1,75.0,72.0
20160103064500,619.5,619.5,613.2,98.9831,74,61.6,100,62.1,75.0,72.0
20160103070000,619.5,619.5,613.2,98.9831,74,61.6,100,62.1,75.0,72.0
20160103071500,619.5,619.5,619.5,100.0,74,64.9,100,62.0,75.0,72.0
20160103073000,619.5,619.5,613.2,98.9831,74,62.8,100,62.1,75.0,72.0
20160103074500,619.5,619.5,619.5,100.0,74,61.6,100,62.1,75.0,72.0
20160103080000,619.5,619.5,613.2,98.9831,74,64.8,100,62.0,75.0,72.0
20160103081500,619.5,619.5,613.2,98.9831,74,63.6,100,62.0,75.0,72.0
20160103083000,619.5,619.5,613.2,98.9831,74,64.8,100,62.1,75.0,72.0
20160103084500,619.5,619.5,619.5,100.0,74,64.8,100,62.1,75.0,72.0
20160103090000,619.5,619.5,619.5,100.0,74,62.8,100,62.1,75.0,72.0
20160103091500,619.5,619.5,613.2,98.9831,74,62.8,100,62.2,75.0,72.0
20160103093000,619.5,619.5,613.2,98.9831,74,62.0,100,62.2,75.0,72.0
20160103094500,619.5,619.5,613.2,98.9831,74,62.0,100,62.2,75.0,72.0
20160103100000,619.5,619.5,619.5,100.0,74,62.0,100,62.3,75.0,72.0
20160103101500,619.5,619.5,613.2,98.9831,74,62.7,100,62.4,75.0,72.0
20160103103000,619.5,619.5,613.2,98.9831,74,65.3,100,62.4,75.0,72.0
20160103104500,619.5,619.5,613.2,98.9831,74,65.3,100,62.3,75.0,72.0
20160103110000,619.5,619.5,613.2,98.9831,74,65.3,100,62.4,75.0,72.0
20160103111500,619.5,619.5,613.2,98.9831,74,66.2,100,62.3,75.0,72.0
20160103113000,619.5,619.5,619.5,100.0,74,66.2,100,62.4,75.0,72.0
20160103114500,619.5,619.5,613.2,98.9831,74,66.2,100,62.4,75.0,72.0
20160103120000,619.5,619.5,613.2,98.9831,74,64.4,100,62.4,75.0,72.0
20160103121500,619.5,619.5,613.2,98.9831,74,63.6,100,62.5,75.0,72.0
20160103123000,619.5,619.5,619.5,100.0,74,65.3,100,62.5,75.0,72.0
20160103124500,619.5,619.5,613.2,98.9831,74,62.8,100,62.5,75.0,72.0
20160103130000,619.5,619.5,619.5,100.0,74,67.2,100,62.5,75.0,72.0
20160103131500,619.5,619.5,619.5,100.0,74,66.2,100,62.5,75.0,72.0
20160103133000,619.5,619.5,613.2,98.9831,74,67.0,100,62.7,75.0,72.0
20160103134500,619.5,619.5,613.2,98.9831,74,64.1,100,62.7,75.0,72.0
20160103140000,619.5,619.5,619.5,100.0,74,64.1,100,62.8,75.0,72.0
20160103141500,619.5,619.5,619.5,100.0,74,64.1,100,62.8,75.0,72.0
20160103143000,619.5,619.5,619.5,100.0,74,67.2,100,62.8,75.0,72.0
20160103144500,619.5,619.5,619.5,100.0,74,65.6,100,62.8,75.0,72.0
20160103150000,619.5,619.5,613.2,98.9831,74,64.8,100,62.9,75.0,72.0
20160103151500,619.5,619.5,613.2,98.9831,74,63.6,100,62.9,75.0,72.0
20160103153000,619.5,619.5,613.2,98.9831,74,63.6,100,63.0,75.0,72.0
20160103154500,619.5,619.5,613.2,98.9831,74,66.3,100,63.0,75.0,72.0
20160103160000,619.5,619.5,613.2,98.9831,74,67.2,100,63.0,75.0,72.0
20160103161500,619.5,619.5,613.2,98.9831,74,67.2,100,63.0,75.0,72.0
20160103163000,619.5,619.5,613.2,98.9831,74,66.3,100,63.0,75.0,72.0
20160103164500,619.5,619.5,613.2,98.9831,74,66.3,100,63.0,75.0,72.0
20160103170000,619.5,619.5,619.5,100.0,74,63.2,100,63.1,75.0,72.0
20160103171500,619.5,619.5,613.2,98.9831,74,66.3,100,63.1,75.0,72.0
20160103173000,619.5,619.5,619.5,100.0,74,64.4,100,63.0,75.0,72.0
20160103174500,619.5,619.5,619.5,100.0,74,64.4,100,63.0,75.0,72.0
20160103180000,619.5,619.5,613.2,98.9831,74,65.8,100,63.0,75.0,72.0
20160103181500,619.5,619.5,619.5,100.0,74,62.8,100,63.0,75.0,72.0
20160103183000,619.5,619.5,613.2,98.9831,74,63.6,100,62.9,75.0,72.0
