PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160104170000,139.2,47.3469,43,47.6,68.1,68.0,59.8
20160104171500,130.8,44.4898,41,47.6,67.5,68.0,59.8
20160104173000,130.8,44.4898,41,47.6,68.1,68.0,59.8
20160104174500,145.2,49.3878,44,47.6,68.5,68.0,59.8
20160104180000,218.4,74.2857,54,46.8,69.0,68.0,59.8
20160104181500,249.0,84.6939,58,46.8,68.4,68.0,59.8
20160104183000,244.8,83.2653,58,46.8,68.1,68.0,59.8
20160104184500,244.8,83.2653,58,46.8,67.7,68.0,59.8
20160104190000,166.2,56.5306,47,46.8,67.2,68.0,59.8
20160104191500,166.2,56.5306,47,46.8,67.6,68.0,59.8
20160104193000,166.2,56.5306,47,46.8,67.7,68.0,59.8
20160104194500,113.4,38.5714,38,46.8,67.1,68.0,59.8
20160104200000,86.4,29.3878,34,47.5,67.4,68.0,59.8
20160104201500,86.4,29.3878,34,47.5,67.7,68.0,59.8
20160104203000,86.4,29.3878,34,47.5,67.9,68.0,59.8
20160104204500,86.4,29.3878,34,48.2,68.1,68.0,59.8
20160104210000,60.0,20.4082,31,48.7,67.5,68.0,59.8
20160104211500,68.4,23.2653,32,47.9,67.8,68.0,59.8
20160104213000,70.2,23.8775,33,48.6,68.0,68.0,59.8
20160104214500,70.2,23.8775,33,47.9,68.1,68.0,59.8
20160104220000,73.2,24.898,33,48.6,68.3,68.0,59.8
20160104221500,80.4,27.3469,34,47.9,68.2,68.0,59.8
20160104223000,80.4,27.3469,34,47.9,68.2,68.0,59.8
20160104224500,80.4,27.3469,34,47.9,68.3,68.0,59.8
20160104230000,87.6,29.7959,35,47.9,68.2,68.0,59.8
20160104231500,87.6,29.7959,35,47.9,68.2,68.0,59.8
20160104233000,86.4,29.3878,35,47.9,68.2,68.0,59.8
20160104234500,87.6,29.7959,35,47.9,68.2,68.0,59.8
20160105000000,87.6,29.7959,35,47.2,68.1,68.0,59.8
20160105001500,87.6,29.7959,35,47.9,68.1,68.0,59.8
20160105003000,87.6,29.7959,35,47.2,68.0,68.0,59.8
20160105004500,87.6,29.7959,35,47.2,68.0,68.0,59.8
20160105010000,87.6,29.7959,35,47.2,68.0,68.0,59.8
20160105011500,87.6,29.7959,35,47.2,67.9,68.0,59.8
20160105013000,87.6,29.7959,35,47.2,68.0,68.0,59.8
20160105014500,89.4,30.4082,35,47.2,68.0,68.0,59.8
20160105020000,89.4,30.4082,35,47.2,68.0,68.0,59.8
20160105021500,87.6,29.7959,35,47.2,67.9,68.0,59.8
20160105023000,89.4,30.4082,35,47.2,67.7,68.0,59.8
20160105024500,75.0,25.5102,33,47.9,67.6,68.0,59.8
20160105030000,58.2,19.7959,30,47.9,67.7,68.0,59.8
20160105031500,0.0,0.0,19,49.5,67.7,68.0,59.8
20160105033000,0.0,0.0,14,50.2,67.8,68.0,59.8
20160105034500,0.0,0.0,9,50.2,67.7,68.0,59.8
20160105040000,0.0,0.0,13,50.2,67.7,68.0,59.8
20160105041500,43.8,14.898,28,51.1,67.8,68.0,59.8
20160105043000,0.0,0.0,9,51.1,67.7,68.0,59.8
20160105044500,0.0,0.0,19,52.2,67.8,68.0,59.8
20160105050000,43.8,14.898,29,53.1,67.8,68.0,59.8
20160105051500,49.2,16.7347,28,53.1,67.7,68.0,59.8
20160105053000,0.0,0.0,9,53.9,67.7,68.0,59.8
20160105054500,0.0,0.0,8,57.1,67.7,68.0,59.8
20160105060000,0.0,0.0,8,58.7,67.9,68.0,59.8
20160105061500,192.6,65.5102,52,47.1,69.3,68.0,59.8
20160105063000,142.8,48.5714,44,47.1,68.4,68.0,59.8
20160105064500,201.6,68.5714,53,46.1,68.7,68.0,59.8
20160105070000,266.4,90.6122,62,46.1,68.7,68.0,59.8
20160105071500,282.6,96.1225,64,46.1,68.6,68.0,59.8
