PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101150000,13.815,60.3708,15.0,15.0,18.0916,28.2225,74.2142,1.2726,1.2,55.5644,57.0,72.355
20160101151500,16.55,60.3708,15.0,15.0,18.0916,28.2225,74.9703,1.2846,1.2,58.4446,57.0,72.355
20160101153000,27.44,60.3708,15.0,15.0,17.9491,28.2225,74.9703,1.2766,1.2,56.6985,57.0,72.355
20160101154500,10.85,60.3708,15.0,15.0,18.0082,27.8868,74.9703,1.2806,1.2,56.6985,57.0,72.355
20160101160000,30.42,60.3708,15.0,15.0,17.9248,30.1756,73.0981,1.2886,1.2,58.0666,57.0,72.355
20160101161500,8.965,60.3708,15.0,15.0,18.0082,29.7179,73.0981,1.2806,1.2,56.3384,57.0,71.48
20160101163000,28.985,60.3708,15.0,15.0,18.1149,29.7179,73.0981,1.2927,1.2,58.9307,57.0,71.48
20160101164500,13.735,60.3708,15.0,15.0,17.9127,29.2906,74.2502,1.2806,1.2,55.1863,57.0,71.48
20160101170000,14.81,60.3708,15.0,15.0,17.9553,28.5582,75.0063,1.2766,1.2,58.0666,57.0,71.48
20160101171500,6.24,60.3708,15.0,15.0,18.1585,28.1615,75.7984,1.2846,1.2,55.5104,57.0,71.48
20160101173000,30.785,60.3708,15.0,15.0,18.2404,28.1615,75.7984,1.2525,1.2,58.7687,57.0,71.48
20160101174500,5.135,60.3708,15.0,15.0,18.2404,28.1615,75.7984,1.2405,1.2,55.6904,57.0,71.48
20160101180000,29.47,60.3708,15.0,15.0,18.0738,28.7108,75.7984,1.2485,1.2,57.5086,57.0,71.48
20160101181500,8.05,60.3708,15.0,15.0,17.9496,28.7108,76.6085,1.2726,1.2,57.5086,57.0,71.48
