PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160103021500,0.0,63.1971,15.0,15.0,17.7326,25.8727,1.5737,55.5104,56.0,61.25
20160103023000,0.0,64.1152,15.0,15.0,17.6202,25.8727,1.5777,55.5104,56.0,61.25
20160103024500,0.0,64.1152,15.0,15.0,17.7326,25.8727,1.5737,55.5104,56.0,61.25
20160103030000,0.0,64.1152,15.0,15.0,17.5912,25.8727,1.5737,55.5104,56.0,61.25
20160103031500,0.0,63.3771,15.0,15.0,17.7326,25.8727,1.5737,54.5743,56.0,61.25
20160103033000,0.0,63.3771,15.0,15.0,17.7326,25.8727,1.5737,55.4023,56.0,61.25
20160103034500,0.0,63.3771,15.0,15.0,17.7326,25.8727,1.5817,55.4023,56.0,61.25
20160103040000,0.0,63.3771,15.0,15.0,17.7326,25.8727,1.5777,54.5023,56.0,61.25
20160103041500,0.0,63.3771,15.0,15.0,17.6202,25.8727,1.5737,55.1503,56.0,61.25
20160103043000,0.0,63.3771,15.0,15.0,17.5345,25.8727,1.5777,55.1503,56.0,61.25
20160103044500,0.0,63.3771,15.0,15.0,17.6174,25.8727,1.5817,55.1503,56.0,61.25
20160103050000,0.0,63.3771,15.0,15.0,17.585,25.8727,1.5817,55.1503,56.0,61.25
20160103051500,0.0,63.3771,15.0,15.0,17.4696,25.8727,1.5777,55.1503,56.0,61.25
20160103053000,0.0,63.3771,15.0,15.0,17.5506,25.8727,1.5737,55.1503,56.0,61.25
20160103054500,0.0,63.3771,15.0,15.0,17.4342,25.8727,1.5897,55.1503,56.0,61.25
20160103060000,0.0,63.3771,15.0,15.0,17.585,25.8727,1.5857,55.1503,56.0,61.25
20160103061500,0.0,63.3771,15.0,15.0,17.5506,25.8727,1.5817,55.1503,56.0,61.25
20160103063000,0.0,63.3771,15.0,15.0,17.5506,25.8727,1.5656,55.1503,56.0,61.25
20160103064500,0.0,63.3771,15.0,15.0,17.6315,25.8727,1.5576,55.1503,56.0,61.25
20160103070000,0.0,63.3771,15.0,15.0,17.6315,25.8727,1.5576,55.1503,56.0,61.25
20160103071500,0.0,63.3771,15.0,15.0,17.5941,25.8727,1.5656,54.5383,56.0,61.25
20160103073000,0.0,63.3771,15.0,15.0,17.4951,25.8727,1.5616,54.5383,56.0,61.25
20160103074500,0.0,63.3771,15.0,15.0,17.5548,25.8727,1.5656,54.5383,56.0,61.25
20160103080000,0.0,63.3771,15.0,15.0,17.6741,25.8727,1.5656,55.1503,56.0,61.25
20160103081500,0.0,63.3771,15.0,15.0,17.5941,25.8727,1.5656,54.3762,56.0,61.25
20160103083000,0.0,63.3771,15.0,15.0,17.5941,25.8727,1.5616,55.2763,56.0,61.25
20160103084500,0.0,63.3771,15.0,15.0,17.6315,25.8727,1.5616,55.2763,56.0,61.25
20160103090000,0.0,63.3771,15.0,15.0,17.7124,26.2084,1.5656,55.2763,56.0,61.25
20160103091500,0.0,63.3771,15.0,15.0,18.1149,26.2084,1.5616,55.2763,56.0,61.25
20160103093000,0.0,64.4753,15.0,15.0,18.2449,26.2084,1.5656,55.2763,56.0,61.25
20160103094500,0.0,64.4753,15.0,15.0,18.4815,26.2084,1.5616,55.2763,56.0,61.25
20160103100000,0.0,64.4753,15.0,15.0,18.6232,26.2084,1.5576,55.2763,56.0,61.25
20160103101500,0.0,64.4753,15.0,15.0,18.8304,26.2084,1.5576,55.2763,56.0,61.25
20160103103000,0.715,64.4753,15.0,15.0,18.9117,26.5135,1.5134,55.8524,56.0,61.25
20160103104500,0.0,64.4753,15.0,15.0,18.9328,26.5135,1.5134,55.8524,56.0,61.25
20160103110000,1.435,64.4753,15.0,15.0,18.65,26.5135,1.5054,55.8524,56.0,61.25
20160103111500,14.305,65.7534,15.0,15.0,18.65,26.5135,1.5054,56.6985,56.0,61.25
20160103113000,29.15,65.7534,15.0,15.0,18.5842,26.5135,1.5014,55.4383,56.0,61.25
20160103114500,4.19,65.7534,15.0,15.0,18.445,26.2084,1.5054,55.4383,56.0,61.25
20160103120000,17.735,67.1215,15.0,15.0,18.4538,26.2084,1.5054,56.9505,56.0,61.25
20160103121500,12.345,67.1215,15.0,15.0,18.5593,25.9337,1.5014,56.9505,56.0,61.25
20160103123000,44.05,67.1215,15.0,15.0,18.7703,25.9337,1.5014,56.9505,56.0,61.25
20160103124500,0.0,67.1215,15.0,15.0,18.9286,25.9337,1.4974,56.2844,56.0,61.25
20160103130000,44.06,67.1215,15.0,15.0,19.0341,25.9337,1.5054,55.5104,56.0,61.25
20160103131500,20.27,67.1215,15.0,15.0,19.3502,25.9337,1.5054,56.5005,56.0,61.25
20160103133000,24.445,67.1215,15.0,15.0,19.5058,25.9337,1.4974,57.1125,56.0,61.25
20160103134500,3.365,67.1215,15.0,15.0,19.6103,25.9337,1.5054,56.4464,56.0,61.25
20160103140000,0.69,67.1215,15.0,15.0,19.7596,25.9337,1.5094,54.1242,56.0,61.25
20160103141500,33.185,67.1215,15.0,15.0,19.9761,25.659,1.5054,56.5365,56.0,61.25
20160103143000,27.49,68.2196,15.0,15.0,19.9666,25.659,1.4974,56.5365,56.0,61.25
20160103144500,9.05,68.2196,15.0,15.0,20.0806,25.659,1.5054,56.5365,56.0,61.25
20160103150000,0.14,68.2196,15.0,15.0,20.4464,25.659,1.5054,56.5365,56.0,61.25
20160103151500,0.205,68.2196,15.0,15.0,20.3654,25.659,1.5094,55.0243,56.0,61.25
20160103153000,0.225,68.2196,15.0,15.0,20.3481,25.659,1.5014,55.0243,56.0,61.25
20160103154500,9.485,67.1215,15.0,15.0,20.4496,25.659,1.5054,54.4482,56.0,61.25
20160103160000,14.495,67.1215,15.0,15.0,20.4496,25.659,1.4934,56.5005,56.0,61.25
20160103161500,0.14,67.1215,15.0,15.0,20.5512,25.659,1.4813,56.5005,56.0,61.25
20160103163000,42.72,67.1215,15.0,15.0,20.6527,25.659,1.4813,56.5005,56.0,61.25
20160103164500,12.185,67.1215,15.0,15.0,20.673,25.659,1.4773,56.5005,56.0,61.25
20160103170000,0.0,67.1215,15.0,15.0,20.4293,25.2623,1.4853,54.7903,56.0,61.25
20160103171500,0.0,66.3834,15.0,15.0,20.3654,25.2623,1.4733,56.1224,56.0,61.25
