PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160103093000,0.0,59.3627,15.0,15.0,18.2449,1.4532,1.5,56.3384,56.0,77.51
20160103094500,0.0,58.6427,15.0,15.0,18.4815,1.4974,1.5,55.6364,56.0,77.51
20160103100000,1.215,59.9208,15.0,15.0,18.6232,1.5295,1.5,56.3744,56.0,77.51
20160103101500,15.475,58.6427,15.0,15.0,18.8304,1.5415,1.5,55.6364,56.0,77.51
20160103103000,17.125,58.6427,15.0,15.0,18.9117,1.5576,1.5,55.6364,56.0,77.51
20160103104500,2.365,60.1008,15.0,15.0,18.9328,1.5536,1.5,56.5005,56.0,77.51
20160103110000,0.0,59.0927,15.0,15.0,18.65,1.5375,1.5,56.5005,56.0,77.51
20160103111500,18.77,60.0108,15.0,15.0,18.65,1.5576,1.5,56.5005,56.0,77.51
20160103113000,0.0,59.0027,15.0,15.0,18.5842,1.5616,1.5,55.8524,56.0,77.51
20160103114500,12.985,59.0027,15.0,15.0,18.445,1.5697,1.5,55.8524,56.0,77.51
20160103120000,12.985,59.0027,15.0,15.0,18.4538,1.5536,1.5,55.8524,56.0,77.51
20160103121500,1.365,59.7408,15.0,15.0,18.5593,1.5536,1.5,55.8524,56.0,77.51
20160103123000,0.0,59.7408,15.0,15.0,18.7703,1.5496,1.5,55.8524,56.0,77.51
20160103124500,2.435,59.0927,15.0,15.0,18.9286,1.5576,1.5,55.8524,56.0,77.51
20160103130000,1.435,58.1926,15.0,15.0,19.0341,1.5415,1.5,55.1863,56.0,77.51
20160103131500,5.745,57.5446,15.0,15.0,19.3502,1.5536,1.5,55.1863,56.0,77.51
20160103133000,0.0,59.7408,15.0,15.0,19.5058,1.5496,1.5,56.2844,56.0,77.51
20160103134500,0.0,59.7408,15.0,15.0,19.6103,1.5415,1.5,56.2844,56.0,77.51
20160103140000,11.685,59.7408,15.0,15.0,19.7596,1.5496,1.5,56.9865,56.0,77.51
20160103141500,7.325,59.7408,15.0,15.0,19.9761,1.5014,1.5,56.9865,56.0,77.51
20160103143000,14.51,59.7408,15.0,15.0,19.9666,1.4813,1.5,56.9865,56.0,77.51
20160103144500,3.225,59.7408,15.0,15.0,20.0806,1.4733,1.5,56.9865,56.0,77.51
20160103150000,19.36,59.7408,15.0,15.0,20.4464,1.4733,1.5,56.9865,56.0,77.51
20160103151500,21.42,58.8227,15.0,15.0,20.3654,1.4813,1.5,56.3744,56.0,77.51
20160103153000,12.195,57.1845,15.0,15.0,20.3481,1.4733,1.5,54.9883,56.0,77.51
20160103154500,2.295,60.1908,15.0,15.0,20.4496,1.4532,1.5,56.6625,56.0,77.51
20160103160000,21.06,60.1908,15.0,15.0,20.4496,1.4693,1.5,56.6625,56.0,77.51
20160103161500,19.89,58.1026,15.0,15.0,20.5512,1.4693,1.5,55.6904,56.0,77.51
20160103163000,0.0,57.4545,15.0,15.0,20.6527,1.4733,1.5,54.7363,56.0,77.51
20160103164500,10.87,60.3708,15.0,15.0,20.673,1.4693,1.5,56.9865,56.0,77.51
20160103170000,0.0,60.3708,15.0,15.0,20.4293,1.4773,1.5,56.3384,56.0,77.51
20160103171500,11.055,60.3708,15.0,15.0,20.3654,1.4693,1.5,56.3384,56.0,77.51
20160103173000,2.58,60.3708,15.0,15.0,20.1946,1.4653,1.5,56.3384,56.0,77.51
20160103174500,0.0,59.2727,15.0,15.0,19.9891,1.4613,1.5,56.3384,56.0,77.51
20160103180000,20.825,58.5527,15.0,15.0,19.7202,1.4572,1.5,55.7624,56.0,77.51
20160103181500,0.12,59.7408,15.0,15.0,19.4465,1.4653,1.5,55.7624,56.0,77.51
