MixedAirTemp,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
62.189,15.9958,21.7223,1.5777,54.5743,61.94
62.189,15.7828,21.4476,1.5817,54.5743,61.94
62.189,15.6763,21.4476,1.5656,53.7102,60.98
62.189,15.5862,21.4476,1.4853,54.2862,62.535
61.4689,15.3712,21.173,1.3529,53.6742,67.08
61.4689,15.1677,21.173,1.5616,53.6742,61.84
61.4689,15.1677,20.8678,1.5857,53.6742,61.84
61.4689,14.9508,20.8678,1.5175,53.6742,61.84
61.4689,14.8423,20.8678,1.4813,53.6742,61.84
60.7309,14.7404,20.5016,1.5616,53.6742,60.755
60.7309,14.6309,20.5016,1.5616,53.6742,60.755
60.7309,14.4698,20.5016,1.5656,53.6742,60.755
60.7309,14.3594,20.5016,1.5697,52.8461,60.755
60.7309,14.1937,20.2575,1.5656,52.8461,60.755
60.7309,14.1376,20.2575,1.5737,52.8461,60.755
60.7309,13.9109,20.2575,1.5737,52.8461,60.755
60.7309,13.7985,20.2575,1.5777,52.8461,60.755
60.7309,13.5737,20.2575,1.5817,52.8461,60.755
59.9208,13.4613,19.9218,1.5817,52.8461,60.755
59.9208,13.4525,20.288,1.5857,52.8461,60.755
59.9208,13.2257,19.9523,1.5897,52.8461,60.755
59.9208,13.1568,19.9523,1.5536,52.8461,59.735
59.9208,13.1568,19.9523,1.5656,52.8461,59.735
59.0927,13.0282,20.5626,1.5375,52.8461,59.735
59.0927,12.9128,20.8678,1.4773,52.144,59.735
59.0927,12.7975,19.6471,1.4291,52.144,59.735
59.0927,12.8385,20.3185,1.4091,52.144,59.735
59.0927,12.7221,20.0743,1.4051,52.144,59.735
59.0927,12.6058,19.7081,1.4171,52.144,59.735
60.3708,12.6448,19.7081,1.4091,52.144,59.735
60.3708,12.7621,19.7081,1.4051,53.1881,59.735
60.3708,12.9968,20.0438,1.4291,53.1881,59.735
60.3708,13.1141,20.9288,1.4291,53.1881,59.735
61.559,13.2901,20.0743,1.4412,54.0882,60.74
62.5491,13.5248,20.3795,1.4853,54.0882,60.74
62.5491,13.7008,20.3795,1.5576,54.0882,60.74
62.5491,13.9355,20.7152,1.5536,54.0882,60.74
64.1152,14.4092,21.2645,1.5496,55.1863,60.74
64.1152,14.6982,21.2645,1.5576,54.5023,60.74
64.1152,15.2262,22.3937,1.5576,54.5023,60.74
64.1152,15.34,21.8749,1.5536,55.1503,60.74
64.1152,15.689,23.889,1.5697,55.1503,60.74
64.8353,15.7969,22.0885,1.5616,55.1503,60.74
64.8353,16.4314,25.598,1.5576,55.1503,60.74
64.8353,16.6452,22.6378,1.5014,55.1503,60.74
66.2934,17.0659,23.0651,1.4733,56.2484,60.74
66.2934,17.1599,23.9196,1.4251,56.2484,60.74
66.2934,17.789,24.9877,1.4251,56.2484,60.74
66.2934,18.1321,25.2928,1.5656,57.5446,66.7
66.2934,18.2385,25.2928,1.5737,56.6085,64.04
66.2934,18.4633,25.2928,1.5817,56.6085,64.04
66.2934,18.7443,25.598,1.5616,56.6085,64.04
67.0315,19.0253,25.598,1.5456,57.3105,64.04
67.0315,19.2628,25.8727,1.5496,54.1602,64.04
67.0315,19.5414,27.0323,1.5335,53.5122,64.04
67.0315,19.8296,26.1778,1.5536,54.9523,64.04
67.0315,19.8315,26.1778,1.5616,56.8245,64.04
67.0315,19.94,26.1778,1.5737,56.8245,64.04
67.0315,20.1579,26.1778,1.5697,56.8245,62.155
67.0315,20.0484,26.1778,1.5817,56.8245,62.155
67.0315,20.1026,26.5441,1.5536,56.8245,62.155
67.0315,20.2111,26.5441,1.5576,56.8245,62.155
67.0315,20.3221,26.5441,1.5656,54.7003,62.155
67.0315,20.4316,26.5441,1.5656,55.3123,62.155
67.0315,20.3221,26.5441,1.5576,56.7345,62.155
67.0315,20.2675,26.5441,1.5656,56.7345,62.155
66.2934,20.0485,26.5441,1.5656,56.7345,62.155
66.2934,19.9362,26.5441,1.5656,56.7345,62.155
65.1953,19.7705,27.2154,1.4131,55.8524,62.155
65.1953,19.5311,28.7718,1.4211,55.8524,62.155
64.2952,19.2501,29.9315,1.4131,55.8524,62.155
64.2952,19.1615,30.4198,1.4171,55.8524,62.155
64.2952,19.027,30.4198,1.4211,55.8524,64.415
64.2952,18.714,27.3375,1.4251,55.8524,64.415
64.2952,18.5977,25.8422,1.4171,55.8524,64.415
64.2952,18.3068,25.0487,1.4131,55.8524,64.415
64.2952,18.2768,25.0487,1.4171,55.8524,64.415
64.2952,18.2449,25.537,1.4532,56.6085,65.175
64.2952,18.1266,26.2694,1.4291,56.6085,67.735
64.2952,18.0082,28.3141,1.5616,56.6085,66.65
64.2952,18.032,29.077,1.5817,55.8524,65.055
64.2952,17.9127,28.6803,1.5937,55.8524,63.54
64.2952,17.7934,28.6803,1.5817,55.8524,63.54
64.2952,17.5548,28.6803,1.4251,55.1503,62.23
64.2952,17.6337,28.6803,1.4693,55.9604,62.23
65.2853,17.7127,28.6803,1.5857,55.9604,62.23
65.2853,17.7127,28.3446,1.5937,55.9604,62.23
65.2853,17.7127,28.3446,1.5576,55.9604,62.23
65.2853,17.7305,28.3446,1.5656,55.9604,62.23
