MixedAirTemp,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
63.2871,19.3316,26.5746,71.0279,1.2244,58.2826,68.075
63.2871,19.6601,26.9408,70.2358,1.2405,56.2484,68.075
63.2871,19.9884,26.9408,70.2358,1.2365,54.8983,68.075
64.1152,20.1856,26.9408,70.2358,1.2164,58.1566,68.075
64.1152,19.8453,27.2765,70.2358,1.2164,59.4888,68.075
64.1152,19.7244,27.5511,70.2358,1.1802,57.9586,68.075
64.1152,20.0637,27.5511,70.2358,1.108,55.7984,71.365
64.1152,20.1614,27.246,70.2358,1.108,56.9865,71.365
64.1152,20.2102,26.7272,70.2358,1.12,58.2826,71.365
64.1152,19.9635,26.7272,69.4437,1.124,55.5104,71.365
64.1152,19.8402,26.7272,69.4437,1.112,58.0666,71.365
64.1152,19.8402,26.7272,69.4437,1.116,58.0666,71.365
64.1152,19.7168,27.0629,69.4437,1.116,55.6004,71.365
64.1152,19.6982,27.7037,68.6157,1.112,57.1485,71.365
64.1152,19.7244,27.1239,68.6157,1.112,57.1485,71.365
64.1152,19.8453,27.1239,68.6157,1.1722,57.1485,71.365
63.2871,19.7221,27.6427,68.6157,1.2244,58.6787,71.365
63.2871,19.7221,28.4972,67.8956,1.2927,55.1863,71.365
63.2871,19.8898,27.5511,67.8956,1.2846,56.4104,71.365
63.2871,19.8405,28.6193,67.8956,1.1843,59.1287,71.365
62.369,19.4461,29.4432,67.8956,1.1722,57.2205,71.365
62.369,19.4112,29.4432,67.8956,1.1762,55.2403,71.365
62.369,18.8545,29.4432,67.8956,1.1642,57.1845,71.365
62.369,18.6145,30.0231,67.8956,1.1602,59.0747,71.365
62.369,18.1664,29.5653,67.8956,1.1401,57.9586,71.365
61.649,18.063,28.9244,67.8956,1.1401,56.2484,71.365
61.649,17.8018,28.9244,67.8956,1.1401,55.0243,71.365
60.7309,17.7925,28.9244,67.8956,1.1401,57.0225,71.365
60.7309,17.7153,28.9244,67.8956,1.1441,58.1566,71.365
60.7309,17.5043,28.192,68.7597,1.1602,55.9604,71.365
60.7309,17.4132,29.0465,68.7597,1.1321,54.8983,71.365
60.7309,17.4132,28.6803,68.7597,1.1521,55.8524,71.365
60.0108,17.4996,28.3751,68.7597,1.1642,58.6067,71.365
60.0108,17.4996,28.3751,68.7597,1.1642,56.2124,71.365
60.0108,17.1742,28.0699,68.7597,1.1562,55.1143,71.365
60.0108,17.2576,27.7648,68.7597,1.1281,59.3987,71.365
60.0108,17.0908,27.7648,68.7597,1.1281,59.3987,71.365
60.0108,17.0295,27.3985,68.7597,1.112,56.9865,71.365
60.0108,16.8713,26.6356,68.7597,1.112,55.1503,71.365
59.3627,16.7658,27.7037,68.7597,1.124,57.9586,71.365
59.3627,16.6603,26.7882,68.7597,1.1,55.0243,71.365
59.3627,16.5548,26.7882,68.7597,1.104,58.3546,71.365
59.3627,16.3965,26.3915,68.7597,1.112,56.3384,71.365
59.3627,16.291,25.7506,68.7597,1.112,57.1125,72.9
58.6427,15.9745,25.7506,68.7597,1.1562,57.1125,72.9
58.6427,15.9958,25.4454,68.7597,1.1521,55.1863,72.9
58.6427,15.7828,25.4454,68.7597,1.1521,58.3906,72.9
58.0126,15.6763,25.4454,68.7597,1.1481,55.1863,72.9
58.0126,15.5862,25.4454,68.7597,1.1562,57.7606,72.9
58.0126,15.3712,25.4454,68.7597,1.1562,56.1224,72.9
58.0126,15.1677,25.4454,68.7597,1.1722,56.1224,72.9
58.0126,15.1677,25.4454,68.7597,1.1923,58.8407,72.9
58.0126,14.9508,24.9877,68.7597,1.1682,56.1764,72.9
58.0126,14.8423,24.9877,68.7597,1.1722,58.6067,72.9
56.9145,14.7404,24.9877,68.7597,1.1602,55.1503,72.9
56.9145,14.6309,24.9877,68.7597,1.1762,57.0585,72.9
56.9145,14.4698,26.4525,68.7597,1.2846,58.9307,72.065
56.9145,14.3594,26.4525,69.7498,1.2766,54.9883,72.065
56.9145,14.1937,25.2318,70.9379,1.2525,58.9307,72.065
56.9145,14.1376,21.8749,72.414,1.2485,56.5005,72.065
56.9145,13.9109,22.6989,72.414,1.2485,56.5005,72.065
56.9145,13.7985,22.6989,71.4239,1.2605,58.9667,72.065
